,Clean Age,Clean Name,Clean Ticket_p,Given Names_p,Title_p,Family Name_p,Unnamed: 0_p,PassengerId,Survived,Pclass_p,Name_p,Sex,is_adult_man,is_woman_or_child,is_male,is_female,Age_p,SibSp,Parch,Ticket_p,Fare,Cabin,Embarked_p,Clean Ticket_s,Pclass_s,Given Names_s,Title_s,Family Name_s,Unnamed: 0_s,Name_s,Age_s,Class/Dept,Ticket_s,Embarked_s,Job,_merge,Match Potential_x,_merge_x,Match Potential_y,_merge_y
0,42.0,mr anthony abbing,5547,anthony,mr,abbing,845.0,846.0,0.0,3.0,"Abbing, Mr. Anthony",male,True,False,True,False,42.0,0.0,0.0,C.A. 5547,7.55,,S,5547,3.0,anthony,mr,abbing,0.0,"ABBING, Mr Anthony",42,3rd class passenger,5547£7               11s               ,Southampton,Blacksmith                             ,both,,,,
1,16.0,mr rossmore edward abbott,2673,rossmore edward,mr,abbott,746.0,747.0,0.0,3.0,"Abbott, Mr. Rossmore Edward",male,False,True,True,False,16.0,1.0,1.0,C.A. 2673,20.25,,S,2673,3.0,rossmore edward,mr,abbott,2.0,"ABBOTT, Mr Rossmore Edward",16,3rd class passenger,CA2673£20               5s               ,Southampton,Jeweller                             ,both,,,,
2,16.0,miss karen marie abelseth,348125,karen marie,miss,abelseth,345.0,1237.0,,3.0,"Abelseth, Miss. Karen Marie",female,False,True,False,True,16.0,0.0,0.0,348125,7.65,,S,348125,3.0,karen marie,miss,abelseth,5.0,"ABELSETH, Miss Karen Marie",16,3rd class passenger,348125£7               13s               ,Southampton,                             ,both,,,,
3,30.0,mr samuel abelson,3381,samuel,mr,abelson,308.0,309.0,0.0,2.0,"Abelson, Mr. Samuel",male,True,False,True,False,30.0,1.0,0.0,P/PP 3381,24.0,,C,3381,2.0,samuel,mr,abelson,7.0,"ABELSON, Mr Samuel",30,2nd class passenger,3381£24                             ,Cherbourg,                             ,both,,,,
4,20.0,mr abraham august johannes abrahamsson,3101284,abraham august johannes,mr,abrahamsson,251.0,1143.0,,3.0,"Abrahamsson, Mr. Abraham August Johannes",male,True,False,True,False,20.0,0.0,0.0,SOTON/O2 3101284,7.925,,S,3101284,3.0,abraham august johannes,mr,abrahamsson,9.0,"ABRAHAMSSON, Mr Abraham August Johannes",20,3rd class passenger,3101284£7               18s               6d,Southampton,                             ,both,,,,
5,26.0,mr john adams,341826,john,mr,adams,401.0,402.0,0.0,3.0,"Adams, Mr. John",male,True,False,True,False,26.0,0.0,0.0,341826,8.05,,S,341826,3.0,john,mr,adams,13.0,"ADAMS, Mr John",26,3rd class passenger,341826£8               1s               ,Southampton,                             ,both,,,,
6,26.0,mr nassef cassem albimona,2699,nassef cassem,mr,albimona,207.0,208.0,1.0,3.0,"Albimona, Mr. Nassef Cassem",male,True,False,True,False,26.0,0.0,0.0,2699,18.7875,,C,2699,3.0,nassef cassem,mr,albimona,21.0,"ALBIMONA, Mr Nassef Cassem",26,3rd class passenger,2699£18               15s               9d,Cherbourg,                             ,both,,,,
7,30.0,mr charles augustus aldworth,248744,charles augustus,mr,aldworth,78.0,970.0,,2.0,"Aldworth, Mr. Charles Augustus",male,True,False,True,False,30.0,0.0,0.0,248744,13.0,,S,248744,2.0,charles augustus,mr,aldworth,22.0,"ALDWORTH, Mr Charles Augustus",30,2nd class passengerservant,248744£13                             ,Southampton,Chauffeur                             ,both,,,,
8,26.0,mr william alexander,3474,william,mr,alexander,810.0,811.0,0.0,3.0,"Alexander, Mr. William",male,True,False,True,False,26.0,0.0,0.0,3474,7.8875,,S,3474,3.0,william,mr,alexander,23.0,"ALEXANDER, Mr William",23,3rd class passenger,3474£7               17s               9d,Southampton,General Labourer                             ,both,,,,
9,25.0,mr william ali,3101312,william,mr,ali,784.0,785.0,0.0,3.0,"Ali, Mr. William",male,True,False,True,False,25.0,0.0,0.0,SOTON/O.Q. 3101312,7.05,,S,3101312,3.0,william,mr,ali,26.0,"ALI, Mr William",25,3rd class passenger,3101312£7               1s               ,Southampton,General Labourer                             ,both,,,,
10,24.0,mr ahmed ali,3101311,ahmed,mr,ali,210.0,211.0,0.0,3.0,"Ali, Mr. Ahmed",male,True,False,True,False,24.0,0.0,0.0,SOTON/O.Q. 3101311,7.05,,S,3101311,3.0,ahmed,mr,ali,25.0,"ALI, Mr Ahmed",24,3rd class passenger,3101311£7               1s               ,Southampton,General Labourer                             ,both,,,,
11,29.0,miss elisabeth walton allen,24160,elisabeth walton,miss,allen,730.0,731.0,1.0,1.0,"Allen, Miss. Elisabeth Walton",female,False,True,False,True,29.0,0.0,0.0,24160,211.3375,B5,S,24160,1.0,elisabeth walton,miss,allen,29.0,"ALLEN, Miss Elisabeth Walton",29,1st class passenger,24160£211               6s               9d,Southampton,                             ,both,,,,
12,35.0,mr william henry allen,373450,william henry,mr,allen,4.0,5.0,0.0,3.0,"Allen, Mr. William Henry",male,True,False,True,False,35.0,0.0,0.0,373450,8.05,,S,373450,3.0,william henry,mr,allen,30.0,"ALLEN, Mr William Henry",35,3rd class passenger,373450£8               1s               ,Southampton,Tool Maker                             ,both,,,,
13,2.0,miss helen loraine allison,113781,helen loraine,miss,allison,297.0,298.0,0.0,1.0,"Allison, Miss. Helen Loraine",female,False,True,False,True,2.0,1.0,2.0,113781,151.55,C22 C26,S,113781,1.0,helen loraine,miss,allison,37.0,"ALLISON, Miss Helen Loraine",2,1st class passenger,113781£151               16s               ,Southampton,                             ,both,,,,
14,30.0,mr hudson joshua creighton allison,113781,hudson joshua creighton,mr,allison,306.0,1198.0,,1.0,"Allison, Mr. Hudson Joshua Creighton",male,True,False,True,False,30.0,1.0,2.0,113781,151.55,C22 C26,S,113781,1.0,hudson joshua creighton,mr,allison,35.0,"ALLISON, Mr Hudson Joshua Creighton",30,1st class passenger,113781£151               16s               ,Southampton,Businessman                             ,both,,,,
15,0.9166666666666666,master hudson trevor allison,113781,hudson trevor,master,allison,305.0,306.0,1.0,1.0,"Allison, Master. Hudson Trevor",male,False,True,True,False,0.92,1.0,2.0,113781,151.55,C22 C26,S,113781,1.0,hudson trevor,master,allison,38.0,"ALLISON, Master Hudson Trevor",11m,1st class passenger,113781£151               16s               ,Southampton,                             ,both,,,,
16,18.0,mr owen george allum,2223,owen george,mr,allum,834.0,835.0,0.0,3.0,"Allum, Mr. Owen George",male,False,False,True,False,18.0,0.0,0.0,2223,8.3,,S,2223,3.0,owen george,mr,allum,41.0,"ALLUM, Mr Owen George",15,3rd class passenger,2223£8               6s               ,Southampton,Gardener                             ,both,,,,
17,32.0,mr albert karvin andersen,4001,albert karvin,mr,andersen,210.0,1102.0,,3.0,"Andersen, Mr. Albert Karvin",male,True,False,True,False,32.0,0.0,0.0,C 4001,22.525,,S,4001,3.0,albert karvin,mr,andersen,42.0,"ANDERSEN, Mr Albert Karvin",33,3rd class passenger,4001£22               10s               6d,Southampton,Engineer                             ,both,,,,
18,19.0,miss carla christine nielsine andersenjensen,350046,carla christine nielsine,miss,andersenjensen,192.0,193.0,1.0,3.0,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,False,True,False,True,19.0,1.0,0.0,350046,7.8542,,S,350046,3.0,carla christine nielsine,miss,andersenjensen,43.0,"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",19,3rd class passenger,350046£7               17s               1d,Southampton,                             ,both,,,,
19,48.0,mr harry anderson,19952,harry,mr,anderson,460.0,461.0,1.0,1.0,"Anderson, Mr. Harry",male,True,False,True,False,48.0,0.0,0.0,19952,26.55,E12,S,19952,1.0,harry,mr,anderson,44.0,"ANDERSON, Mr Harry",47,1st class passenger,19952£26               11s               ,Southampton,Stockbroker                             ,both,,,,
20,6.0,miss ebba iris alfrida andersson,347082,ebba iris alfrida,miss,andersson,813.0,814.0,0.0,3.0,"Andersson, Miss. Ebba Iris Alfrida",female,False,True,False,True,6.0,4.0,2.0,347082,31.275,,S,347082,3.0,ebba iris alfrida,miss,andersson,54.0,"ANDERSSON, Miss Ebba Iris Alfrida",6,3rd class passenger,347082£31               5s               6d,Southampton,                             ,both,,,,
21,4.0,master sigvard harald elias andersson,347082,sigvard harald elias,master,andersson,850.0,851.0,0.0,3.0,"Andersson, Master. Sigvard Harald Elias",male,False,True,True,False,4.0,4.0,2.0,347082,31.275,,S,347082,3.0,sigvard harald elias,master,andersson,55.0,"ANDERSSON, Master Sigvard Harald Elias",4,3rd class passenger,347082£31               5s               6d,Southampton,                             ,both,,,,
22,39.0,mrs alfrida konstantia brogren andersson,347082,alfrida konstantia brogren,mrs,andersson,610.0,611.0,0.0,3.0,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,False,True,False,True,39.0,1.0,5.0,347082,31.275,,S,347082,3.0,alfrida konstantia brogren,mrs,andersson,51.0,"ANDERSSON, Mrs Alfrida Konstantia Brogren",39,3rd class passenger,347082£31               5s               6d,Southampton,                             ,both,,,,
23,26.0,mr johan samuel andersson,347075,johan samuel,mr,andersson,320.0,1212.0,,3.0,"Andersson, Mr. Johan Samuel",male,True,False,True,False,26.0,0.0,0.0,347075,7.775,,S,347075,3.0,johan samuel,mr,andersson,48.0,"ANDERSSON, Mr Johan Samuel",26,3rd class passenger,347075£7               15s               6d,Southampton,General Labourer                             ,both,,,,
24,17.0,miss erna alexandra andersson,3101281,erna alexandra,miss,andersson,68.0,69.0,1.0,3.0,"Andersson, Miss. Erna Alexandra",female,False,True,False,True,17.0,4.0,2.0,3101281,7.925,,S,3101281,3.0,erna alexandra,miss,andersson,47.0,"ANDERSSON, Miss Erna Alexandra",17,3rd class passenger,3101281£7               18s               6d,Southampton,                             ,both,,,,
